MIM	Gene	Phenotypes
605763	"SLC45A1, DNB5, IDDNPF"	"Intellectual developmental disorder with neuropsychiatric features, 617532 (3), Autosomal recessive"
605226	"RERE, NEDBEH"	"Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart, 616975 (3), Autosomal dominant"
172430	"ENO1, PPH, MPB1"	
114780	CA6	
610371	"SLC2A7, GLUT7"	
138230	"SLC2A5, GLUT5"	
611172	"MIR34A, MIRN34A"	
138090	"H6PD, GDH, G6PDH, CORTRD1"	"Cortisone reductase deficiency 1, 604931 (3), Autosomal recessive"
611657	"SPSB, SSB1"	
610816	SLC25A33	
602839	"PIK3CD, APDS, IMD14A, IMD14B, ROCHIS"	"Immunodeficiency 14A, autosomal dominant, 615513 (3), Autosomal dominant; Immunodeficiency 14B, autosomal recessive, 619281 (3), Autosomal recessive; ?Roifman-Chitayat syndrome, digenic, 613328 (3), Digenic recessive"
611321	"CLSTN1, KIAA0911"	
607758	"CTNNBIP1, ICAT"	
610458	LZIC	
608700	"NMNAT1, NMNAT, PNAT1, LCA9, SHILCA"	"Spondyloepiphyseal dysplasia, sensorineural hearing loss, intellectual developmental disorder, and Leber congenital amaurosis, 619260 (3), Autosomal recessive; Leber congenital amaurosis 9, 608553 (3), Autosomal recessive"
608604	"RBP7, CRBP4"	
613565	"UBE4B, UFD2A, KIAA0684"	
605995	"KIF1B, CMT2A, CMT2A1, NBLST1"	"Pheochromocytoma, 171300 (3), Autosomal dominant; {Neuroblastoma, susceptibility to, 1}, 256700 (3), Autosomal dominant, Somatic mutation; Charcot-Marie-Tooth disease, type 2A1, 118210 (3), Autosomal dominant"
172200	PGD	
609130	"CENPS, APITD1, MHF1"	
602784	CORT	
601882	"DFFA, DFF1"	
601791	"PEX14, PBD13A"	"Peroxisome biogenesis disorder 13A (Zellweger), 614887 (3), Autosomal recessive"
609895	"CASZ1, SRG"	
619700	C1orf127	
605078	"TARDBP, TDP43, ALS10"	"Frontotemporal lobar degeneration, TARDBP-related, 612069 (3), Autosomal dominant; Amyotrophic lateral sclerosis 10, with or without FTD, 612069 (3), Autosomal dominant"
605102	MASP2	"MASP2 deficiency, 613791 (3), Autosomal recessive"
182891	"SRM, SPS1"	
605960	"EXOSC10, PMSCL2"	
601231	"MTOR, FRAP1, SKS"	"Focal cortical dysplasia, type II, somatic, 607341 (3); Smith-Kingsmore syndrome, 616638 (3), Autosomal dominant"
618517	"ANGPTL7, CDT6"	
611632	"UBIAD1, TERE1, SCCD"	"Corneal dystrophy, Schnyder type, 121800 (3), Autosomal dominant"
611251	"DISP3, PTCHD2, KIAA1337"	
607112	"FBXO2, FBX2, FBG1, NFB42"	
609111	"FBXO44, FBX44, FBX6A, FBG3"	
605647	"FBXO6, FBX6, FBG2"	
604094	"MAD2L2, MAD2B, FANCV"	"?Fanconi anemia, complementation group V, 617243 (3), Autosomal recessive"
612682	"DRAXIN, C1orf187"	
608729	AGTRAP	
607093	MTHFR	"{Vascular disease, susceptibility to} (3); Homocystinuria due to MTHFR deficiency, 236250 (3), Autosomal recessive; {Thromboembolism, susceptibility to}, 188050 (3), Autosomal dominant; {Schizophrenia, susceptibility to}, 181500 (3), Autosomal dominant; {Neural tube defects, susceptibility to}, 601634 (3), Autosomal recessive"
602726	"CLCN6, CONRIBA"	"Neurodegeneration, childhood-onset, hypotonia, respiratory insufficiency and brain imaging abnormalities, 619173 (3), Autosomal dominant"
108780	"NPPA, PND, ANP, ATFB6, ATRST2"	"Atrial standstill 2, 615745 (3), Autosomal recessive; Atrial fibrillation, familial, 6, 612201 (3), Autosomal dominant"
600295	"NPPB, BNP"	
153454	"PLOD1, LH1, LLH, EDSKCL1"	"Ehlers-Danlos syndrome, kyphoscoliotic type, 1, 225400 (3), Autosomal recessive"
608507	"MFN2, KIAA0214, CMT2A2A, HMSN6A, CMT2A2B"	"Charcot-Marie-Tooth disease, axonal, type 2A2A, 609260 (3), Autosomal dominant; Charcot-Marie-Tooth disease, axonal, type 2A2B, 617087 (3), Autosomal recessive; Hereditary motor and sensory neuropathy VIA, 601152 (3), Autosomal dominant"
608772	"MIIP, IIP45"	
153243	"TNFRSF8, CD30, D1S166E"	
191191	"TNFRSF1B, TNFR2, TNFBR"	
608877	"VPS13D, SCAR4"	"Spinocerebellar ataxia, autosomal recessive 4, 607317 (3), Autosomal recessive"
609918	GBD2	"Gallbladder disease 2, 609918 (2)"
612830	"DHRS3, RETSDR1"	
615212	LRRC38	
608863	"PDPN, TI1A, T1A2, GP36, OTS8, AGGRUS"	
601196	"PRDM2, RIZ"	
618301	KAZN	
616450	"EFHD2, SWS1"	
601405	"CTRC, CLCR"	"{Pancreatitis, chronic, susceptibility to}, 167800 (3), Autosomal dominant"
609443	"CELA2A, ELA2A, AOMS4"	"Abdominal obesity-metabolic syndrome 4, 618620 (3), Autosomal dominant"
609444	"CELA2B, ELA2B"	
602234	"CASP9, APAF3"	
619973	"DNAJC16, ERDJ8, KIAA0962"	
617887	"AGMAT, AUH"	
601966	"RSC1A1, RS1"	
609613	"PLEKHM2, SKIP, KIAA0842"	
610817	SLC25A34	
607747	"FBLIM1, FBLP1, MIGFILIN"	
613484	"SPEN, MINT, SHARP, HIAA0929, RATARS"	"Radio-Tartaglia syndrome, 619312 (3), Autosomal dominant"
609122	ANIB3	"Aneurysm, intracranial berry, 3, 609122 (2), Autosomal dominant"
616055	EA8	"Episodic ataxia, type 8, 616055 (2), Autosomal dominant"
601201	MEMO1	
604084	"ZBTB17, ZNF151, MIZ1"	
619448	"SRARP, ERRF, C1orf64"	
610692	"HSPB7, CVHSP"	
602024	CLCNKA	"Bartter syndrome, type 4b, digenic, 613090 (3), Digenic recessive"
602023	CLCNKB	"Bartter syndrome, type 3, 607364 (3), Autosomal recessive; Bartter syndrome, type 4b, digenic, 613090 (3), Digenic recessive"
176946	"EPHA2, ECK, CTPP1, CTPA, ARCC2, CTRCT6"	"Cataract 6, multiple types, 116600 (3), Autosomal dominant"
612496	"ARHGEF19, WGEF"	
609109	"FBXO42, FBX42, KIAA1332"	
611624	NECAP2	
189911	"TRG-CCC1-1, TRNAG1, TRG1"	
610501	"NBPF1, KIAA1693"	
180680	"RNU1A, RNU1"	
180640	"TRE-TTC3-1, TRNAE1, TRNE, TRE"	
615776	"CROCC, ROOTLETIN, KIAA0445"	
156790	"MFAP2, MAGP, MAGP1"	
610513	"ATP13A2, PARK9, KRPPD, SPG78"	"Spastic paraplegia 78, autosomal recessive, 617225 (3), Autosomal recessive; Kufor-Rakeb syndrome, 606693 (3), Autosomal recessive"
185470	"SDHB, SDH2, SDHIP, PGL4, MC2DN4"	"Paragangliomas 4, 115310 (3), Autosomal dominant; Mitochondrial complex II deficiency, nuclear type 4, 619224 (3), Autosomal recessive; Gastrointestinal stromal tumor, 606764 (3), Autosomal dominant, Isolated cases; Pheochromocytoma, 171300 (3), Autosomal dominant; Paraganglioma and gastric stromal sarcoma, 606864 (3)"
607935	PADI2	
607934	PADI1	
606755	"PADI3, UHS1"	"Uncombable hair syndrome, 191480 (3), Autosomal recessive"
605347	"PADI4, PADI5, PAD"	
610363	"PADI6, PREMBL2"	"Preimplantation embryonic lethality 2, 617234 (3), Autosomal recessive"
609587	"RCC2, KIAA1470"	
612494	"ARHGEF10L, GRINCHGEF, KIAA1626"	
167410	"PAX7, RMS2, MYOSCO"	"Rhabdomyosarcoma 2, alveolar, 268220 (3), Somatic mutation; Myopathy, congenital, progressive, with scoliosis, 618578 (3), Autosomal recessive"
606226	"TAS1R2, T1R2"	
606811	"ALDH4A1, ALDH4, P5CDH"	"Hyperprolinemia, type II, 239510 (3), Autosomal recessive"
609890	"UBR4, ZUBR1, RBAF600, KIAA1307"	
616846	"EMC1, KIAA0090, CAVIPMR"	"Cerebellar atrophy, visual impairment, and psychomotor retardation, 616875 (3), Autosomal recessive"
608478	"AKR7A4, AFAR3"	
608477	"AKR7A3, AFAR2"	
603418	"AKR7A2, AKR7, AFAR"	
614760	"SLC66A2, PQLC2"	
601572	"CAPZB, CAPPB"	
616574	"MICOS10, MINOS1, MIO10, MIC10"	
600613	"D1S1733E, DAN"	
601109	HTR6	
617163	RNF186	
611758	"OTUD3, KIAA0459"	
618320	PLA2G2E	
172411	"PLA2G2A, PLA2B, PLA2L, MOM1"	"{?Colorectal cancer, susceptibility to}, 114500 (3), Autosomal dominant, Somatic mutation"
601192	"PLA2G5, FRFB"	"[Fleck retina, familial benign], 228980 (3), Autosomal recessive"
612957	B6QTL1	"{Vitamin B6 plasma level QTL 1}, 612957 (2)"
612627	"BFIS4, BFIC4"	"Seizures, benign familial infantile, 4, 612627 (2)"
605630	"PLA2G2D, SPLASH"	
616793	PLA2G2F	
616783	UBXN10	
614986	CAMK2N1	
612037	"MUL1, MULAN, C1orf166"	
123920	CDA	
608309	"PINK1, PARK6"	"Parkinson disease 6, early onset, 605909 (3), Autosomal recessive"
602202	"DDOST, OST, OST48, CDG1R"	"Congenital disorder of glycosylation, type Ir, 614507 (3), Autosomal recessive"
605037	"KIF17, KIAA1405"	
616072	"HP1BP3, HP1BP74"	
603929	"EIF4G3, EIF4GII"	
600423	ECE1	"{Hypertension, essential, susceptibility to}, 145500 (3), Multifactorial; ?Hirschsprung disease, cardiac defects, and autonomic dysfunction, 613870 (3), Autosomal dominant"
612992	NBPF3	
171760	"ALPL, HOPS, TNSALP, HPPA, HPPO, HPPI, HPPC"	"Odontohypophosphatasia, 146300 (3), Autosomal recessive, Autosomal dominant; Hypophosphatasia, infantile, 241500 (3), Autosomal recessive; Hypophosphatasia, childhood, 241510 (3), Autosomal recessive; Hypophosphatasia, adult, 146300 (3), Autosomal recessive, Autosomal dominant"
600278	RAP1GA1	
617445	"USP48, USP31"	
142461	"HSPG2, PLC, SJS, SJA, SJS1"	"Dyssegmental dysplasia, Silverman-Handmaker type, 224410 (3), Autosomal recessive; Schwartz-Jampel syndrome, type 1, 255800 (3), Autosomal recessive"
618694	CELA3B	
618693	CELA3A	
116952	"CDC42, TKS"	"Takenouchi-Kosaki syndrome, 616737 (3), Autosomal dominant"
603490	"WNT4, SERKAL"	"?SERKAL syndrome, 611812 (3), Autosomal recessive; Mullerian aplasia and hyperandrogenism, 158330 (3), Autosomal dominant"
612106	"ZBTB40, KIAA0478"	
176945	"EPHA8, EEK, HEK3"	
120550	C1QA	"C1q deficiency, 613652 (3), Autosomal recessive"
120575	"C1QC, C1QG"	"C1q deficiency, 613652 (3), Autosomal recessive"
120570	C1QB	"C1q deficiency, 613652 (3), Autosomal recessive"
600997	"EPHB2, EPHT3, DRT, ERK, PCBC, CAPB, BDPLT22"	"?Bleeding disorder, platelet-type, 22, 618462 (3), Autosomal recessive; {Prostate cancer/brain cancer susceptibility, somatic}, 603688 (3)"
609132	"KDM1A, LSD1, AOF2, BHC110, KIAA0601, CPRF"	"Cleft palate, psychomotor retardation, and distinctive facial features, 616728 (3), Autosomal dominant"
601422	LUZP1	
182133	HTR1D	
607201	"HNRPR, HNRNPR"	
611703	"ZNF436, KIAA1710"	
604128	TCEA3	
616594	"ASAP3, UPLC1, CENTB6, DDEFL1, ACAP4"	
600426	E2F2	
600277	ID3	
607305	MDS2	
604175	"RPL11, DBA7"	"Diamond-Blackfan anemia 7, 612562 (3), Autosomal dominant"
600786	TCEB3	
618784	"PITHD1, C1orf128"	
616143	"LYPLA2, APT2"	
606953	GALE	"Galactose epimerase deficiency, 230350 (3), Autosomal recessive"
613898	HMGCL	"HMG-CoA lyase deficiency, 246450 (3), Autosomal recessive"
612280	FUCA1	"Fucosidosis, 230000 (3), Autosomal recessive"
605051	"CNR2, CB2, CX5"	
611882	PNRC2	
605221	"SRSF10, FUSIP1, TASR, TASR1, TASR2"	
616832	MYOM3	
605457	"IL22RA1, IL22R1"	
607404	"IFNLR1, IL28RA"	
608317	"GRHL3, SOM, TFCP2L4, VWS2"	"van der Woude syndrome 2, 606713 (3), Autosomal dominant"
615826	"STPG1, MAPO2, C1orf201"	
605860	"RCAN3, DSCR1L2, MCIP3"	
605975	"SRRM1, SRM160"	
606536	"CLIC4, MTCLIC"	
600210	"RUNX3, CBFA3, PEBP2A3, AML2"	
607090	"SYF2, P29"	
111680	"RHD, HDFNRH"	"{Hemolytic disease of fetus and newborn, RH-induced}, 619462 (3); [Blood group, RH system], 111690 (3)"
605348	"TMEM50A, SMP1"	
111700	"RHCE, RHNA"	"Rh-null disease, amorph type, 617970 (3)"
610301	"TMEM57, FLJ10747"	
605747	"LDLRAP1, ARH, FHCB2, FHCB1, FHCL4"	"Hypercholesterolemia, familial, 4, 603813 (3), Autosomal recessive"
616772	MAN1C1	
606210	"SELENON, SEPN1, SELN, RSMD1, CFTD"	"Myopathy, congenital, with fiber-type disproportion, 255310 (3), Autosomal recessive, Autosomal dominant; Muscular dystrophy, rigid spine, 1, 602771 (3), Autosomal recessive"
607779	"PAQR7, MPRA, PGLP"	
151442	"STMN1, LAP18, SMN"	
602344	PAFAH2	
601738	EXTL1	
609617	"SLC30A2, ZNT2, TNZD"	"Zinc deficiency, transient neonatal, 608118 (3), Autosomal dominant"
606131	"TRIM63, RNF28, SMRZ, MURF1"	
610785	PDIK1L	
616698	"ZNF593, ZT86"	
603272	"CNKSR1, CNK1"	
609121	CATSPER4	
618898	"CEP85, CCDC21"	
615679	SH3BGRL3	
609151	"UBXN11, SOC"	
114280	"CD52, CDW52"	
619765	"CRYBG2, AIM1L"	
616775	"ZNF683, HOBIT"	
611043	LIN28A	
608172	"DHDDS, HDS, RP59, DEDSM"	"Developmental delay and seizures with or without movement abnormalities, 617836 (3), Autosomal dominant; ?Congenital disorder of glycosylation, type 1bb, 613861 (3), Autosomal recessive; Retinitis pigmentosa 59, 613861 (3), Autosomal recessive"
163910	"HMGN2, HMG17"	
601684	"RPS6KA1, RSK1"	
603024	"ARID1A, C1orf4, B120, SMARCF1, MRD14, CSS2"	"Coffin-Siris syndrome 2, 614607 (3), Autosomal dominant"
610274	"PIGV, HPMRS1"	"Hyperphosphatasia with mental retardation syndrome 1, 239300 (3), Autosomal recessive"
601290	SFN	
617486	GPATCH3	
610325	NUDC	
604630	"NR0B2, SHP"	"Obesity, mild, early-onset, 601665 (3), Autosomal recessive, Multifactorial, Autosomal dominant"
616758	"KDF1, C1orf172, ECTD12"	"?Ectodermal dysplasia 12, hypohidrotic/hair/tooth/nail type, 617337 (3), Autosomal dominant"
616824	TRNP1	
619069	"TENT5B, FAM46"	
107310	"SLC9A1, NHE1, APNH, LIKNS"	"Lichtenstein-Knorr syndrome, 616291 (3), Autosomal recessive"
619763	"WDTC1, ADP"	
619469	"TMEM222, C1orf160, NEDMOSBA"	"Neurodevelopmental disorder with motor and speech delay and behavioral abnormalities, 619470 (3), Autosomal recessive"
608042	"SYTL1, SLP1, JFC1"	
604468	"MAP3K6, MAPKKK6, ASK2"	
604973	"FCN3, HAKA1"	"Immunodeficiency due to ficolin 3 deficiency, 613860 (3), Autosomal recessive"
600241	GPR3	
605875	"WASF2, WAVE2, SCAR2"	
615790	"AHDC1, XIGIS, MRD25"	"Xia-Gibbs syndrome, 615829 (3), Autosomal dominant"
617930	"C1DELp35, DEL1p35"	"Chromosome 1p35 deletion syndrome, 617930 (4), Autosomal dominant"
132850	EBVS1	
164940	"FGR, SRC2"	
147572	"G1P3, IFI616"	
606892	"STX12, STX13"	
602636	"PPP1R8, NIPP1, ARD1"	
617856	"THEMIS2, C1orf38, ICB1"	
179836	RPA2	
617737	"SMPDL3B, ASML3B"	
619940	XKR8	
601655	EYA3	
173393	PTAFR	
614981	"ATP1F1, IF1"	
607767	"SEST2, HI95"	
612384	MED18	
608726	PHACTR4	
603238	"RNU17D, U17HG"	
179710	"CHC1, RCC1"	
180645	"RNU17A, RNE1"	
603239	RNU17B	
619597	TRNAU1AP	
600773	TAF12	
604409	GMEB1	
610640	YTHDF2	
165195	OPRD1	
130500	"EPB41, EL1"	"Elliptocytosis-1, 611804 (3), Autosomal recessive, Autosomal dominant"
601940	"SRSF4, SFRS4, SRp75"	
608205	"MECR, NRBF1, DYTOABG"	"Dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities, 617282 (3), Autosomal recessive"
602454	"PTPRU, GLEPP1, PTPU2"	
115437	"MATN1, CRTM, CMP"	
601476	LAPTM5	
186357	"SDC3, SYND3, SDCN"	"{Obesity, association with}, 601665 (3), Autosomal recessive, Multifactorial, Autosomal dominant"
607204	"PUM1, KIAA0099, SCA47"	"Spinocerebellar ataxia 47, 617931 (3), Autosomal dominant"
612871	NKAIN1	
607797	"SNRNP40, SPF38, PRPF8BP"	
619744	"ZCCHC17, PS1D"	
134651	FABP3	
614549	SERINC2	
616064	"TINAGL1, TINAGRP"	
602392	"HCRTR1, OX1R"	
610033	PEF1	
120326	COL16A1	
602683	"ADGRB2, BAI2"	
619038	SPOCD1	
601584	"PTP4A2, PTP4A, PRL2, HH13"	
602489	"KHDRBS1, SAM68"	
610563	KPNA6	
608676	"TXLNA, IL14"	
610162	"CCDC28B, MGC1203"	"{Bardet-Biedl syndrome 1, modifier of}, 209900 (3), Autosomal recessive, Digenic recessive"
603911	"EIF3I, EIF3S2, TRIP1"	
153390	"LCK, IMD22"	"?Immunodeficiency 22, 615758 (3), Autosomal recessive"
601241	"HDAC1, RPD3L1"	
602940	"MARCKSL1, MLP, MRP"	
607660	"TSSK3, STK22C, STK22D"	
617518	BSDC1	
618742	"ZBTB8A, BOZF1"	
615891	"ZBTB8OS, ARCH"	
602923	"RBBP4, RBAP48"	
611750	SYNC1	
603623	"YARS1, YARS, CMTDIC, TYRRS, YTS, YRS, IMNEPD2"	"Infantile-onset multisystem neurologic, endocrine, and pancreatic disease 2, 619418 (3), Autosomal recessive; Charcot-Marie-Tooth disease, dominant intermediate C, 608323 (3), Autosomal dominant"
611889	"S100PBP, S100PBPR"	
611906	"FNDC5, FRCP2"	
142622	"HPCA, DYT2"	"Dystonia 2, torsion, autosomal recessive, 224500 (3), Autosomal recessive"
610872	"IBRDC3, NKLAM"	
103020	AK2	"Reticular dysgenesis, 267500 (3), Autosomal recessive"
608353	"AZIN2, ODC1L, KIAA1945"	
616755	"TRIM62, DEAR1"	
619850	"A3GALT2, IGB3S"	
602979	PHC2	
611315	"ZSCAN20, ZNF31, KOX29"	
608398	"CSMD2, KIAA1884"	
617285	HMGB4	
609919	GBD3	"Gallbladder disease 3, 609919 (2)"
613545	MACST	"Macrostomia, 613545 (2)"
604493	"GJB5, CX31.1"	
605425	"GJB4, CX30.3, EKVP2"	"Erythrokeratodermia variabilis et progressiva 2, 617524 (3), Autosomal dominant"
603324	"GJB3, CX31, DFNA2B, EKVP1"	"Deafness, digenic, GJB2/GJB3, 220290 (3), Autosomal recessive, Digenic dominant; Deafness, autosomal recessive (3); Deafness, autosomal dominant 2B, 612644 (3), Autosomal dominant; Erythrokeratodermia variabilis et progressiva 1, 133200 (3), Autosomal recessive, Autosomal dominant; Deafness, autosomal dominant, with peripheral neuropathy (3)"
121012	"GJA4, CX37"	
611413	"DLGAP3, SPAPA3"	
613567	"ZMYM6, ZNF258"	
605199	"SFPQ, PSF"	
613568	"ZMYM4, ZNF262, KIAA0425"	
613535	"KIAA0319L, KIAA1837"	
608458	"NCDN, KIAA0607, NEDIES"	"Neurodevelopmental disorder with infantile epileptic spasms, 619373 (3), Autosomal dominant"
614428	TFAP2E	
602175	PSMB2	
605434	CLSPN	
607356	"AGO4, EIF2C4, KIAA1567"	
606228	"AGO1, EIF2C1, GERP95, EIF2C"	
607355	"AGO3, EIF2C3"	
608953	"TEKT2, TEKTB1"	
610624	"ADPRHL2, ARH3, CONDSIAS"	"Neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures, 618170 (3), Autosomal recessive"
120252	"COL8A2, FECD1, PPCD2"	"Corneal dystrophy, posterior polymorphous 2, 609140 (3), Autosomal dominant; Corneal dystrophy, Fuchs endothelial, 1, 136800 (3), Autosomal dominant"
610955	"TRAPPC3, BET3"	
603809	"THRAP3, TRAP150"	
609437	"STK40, SHIK"	
